,meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
19,1246,9606,11,291.0,259,,2024-09-22T12:37:09.939000+00:00,99.166,False,29.23,42.056,27.88,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",21
20,1246,9606,11,287.0,260,284.0,2024-09-22T12:38:49.159000+00:00,99.435,False,29.373,42.071,27.991,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",22
21,1246,9606,11,289.0,260,282.0,2024-09-22T12:40:28.670000+00:00,99.432,False,29.375,42.101,27.956,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",23
22,1246,9606,11,290.0,259,283.0,2024-09-22T12:42:08.032000+00:00,99.672,False,29.219,42.336,28.117,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",24
23,1246,9606,11,289.0,261,281.0,2024-09-22T12:43:47.731000+00:00,99.784,False,29.368,42.476,27.94,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",25
24,1246,9606,11,288.0,259,283.0,2024-09-22T12:45:27.487000+00:00,100.035,False,29.555,42.376,28.104,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",26
25,1246,9606,11,,259,282.0,2024-09-22T12:47:07.568000+00:00,99.713,False,29.372,42.446,27.895,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",27
26,1246,9606,11,293.0,261,283.0,2024-09-22T12:48:47.232000+00:00,107.385,False,29.337,42.244,35.804,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2051, 2049, 2049]",28
27,1246,9606,11,292.0,261,,2024-09-22T12:50:34.762000+00:00,117.269,True,49.009,41.103,27.157,"[2064, 2064, 2064, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",29
28,1246,9606,11,,275,286.0,2024-09-22T12:52:31.890000+00:00,99.589,False,28.694,42.511,28.384,"[2048, 2049, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",30
29,1246,9606,11,289.0,262,282.0,2024-09-22T12:54:11.386000+00:00,98.404,False,29.116,41.747,27.541,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]",31
30,1246,9606,11,291.0,263,285.0,2024-09-22T12:55:49.860000+00:00,98.407,False,29.019,41.859,27.529,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",32
31,1246,9606,11,308.0,276,284.0,2024-09-22T12:57:28.431000+00:00,97.477,False,28.596,41.41,27.471,"[None, 2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",33
32,1246,9606,11,298.0,271,298.0,2024-09-22T12:59:05.798000+00:00,97.992,False,28.669,41.814,27.509,"[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]",34
33,1246,9606,11,300.0,271,297.0,2024-09-22T13:00:43.753000+00:00,97.858,False,28.59,41.84,27.428,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",35
34,1246,9606,11,286.0,266,282.0,2024-09-22T13:02:21.669000+00:00,98.556,False,29.066,41.716,27.774,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",36
35,1246,9606,11,291.0,267,283.0,2024-09-22T13:04:00.144000+00:00,98.175,False,28.942,41.685,27.548,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",37
36,1246,9606,11,290.0,265,286.0,2024-09-22T13:05:38.322000+00:00,98.133,False,29.008,41.713,27.412,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",38
37,1246,9606,11,292.0,264,287.0,2024-09-22T13:07:16.537000+00:00,97.84,False,28.767,41.54,27.533,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",39
38,1246,9606,11,291.0,266,286.0,2024-09-22T13:08:54.367000+00:00,97.878,False,28.888,41.628,27.362,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2049]",40
39,1246,9606,11,,263,,2024-09-22T13:10:32.276000+00:00,97.821,False,28.88,41.513,27.428,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",41
40,1246,9606,11,293.0,266,288.0,2024-09-22T13:12:10.027000+00:00,97.649,False,28.856,41.41,27.383,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2049, 2049]",42
41,1246,9606,11,,275,287.0,2024-09-22T13:13:47.710000+00:00,97.672,False,28.854,41.482,27.336,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",43
42,1246,9606,11,307.0,275,294.0,2024-09-22T13:15:25.331000+00:00,97.783,False,28.838,41.619,27.326,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",44
43,1246,9606,11,308.0,276,299.0,2024-09-22T13:17:03.180000+00:00,97.6,False,28.772,41.518,27.31,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",45
44,1246,9606,11,304.0,274,298.0,2024-09-22T13:18:40.821000+00:00,97.959,False,28.804,41.634,27.521,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",46
45,1246,9606,11,303.0,276,,2024-09-22T13:20:18.662000+00:00,97.754,False,28.744,41.717,27.293,"[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",47
46,1246,9606,11,302.0,275,297.0,2024-09-22T13:21:56.403000+00:00,97.981,False,28.664,41.756,27.561,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",48
47,1246,9606,11,310.0,276,299.0,2024-09-22T13:23:34.445000+00:00,98.074,False,28.722,42.027,27.325,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",49
48,1246,9606,11,304.0,275,297.0,2024-09-22T13:25:12.504000+00:00,98.722,False,28.759,42.154,27.809,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",50
49,1246,9606,11,312.0,274,299.0,2024-09-22T13:26:51.287000+00:00,98.057,False,28.798,41.955,27.304,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",51
50,1246,9606,11,316.0,274,300.0,2024-09-22T13:28:29.330000+00:00,98.236,False,28.799,41.986,27.451,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",52
51,1246,9606,11,300.0,272,297.0,2024-09-22T13:30:07.575000+00:00,98.121,False,28.864,41.846,27.411,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",53
52,1246,9606,11,309.0,274,299.0,2024-09-22T13:31:45.629000+00:00,98.018,False,28.726,41.819,27.473,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",54
53,1246,9606,11,316.0,275,298.0,2024-09-22T13:33:23.682000+00:00,98.499,False,28.68,42.236,27.583,"[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]",55
54,1246,9606,11,310.0,278,297.0,2024-09-22T13:35:02.154000+00:00,99.127,False,28.782,41.903,28.442,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",56
55,1246,9606,11,291.0,263,285.0,2024-09-22T13:36:41.402000+00:00,98.347,False,29.12,41.903,27.324,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",57
56,1246,9606,11,292.0,264,287.0,2024-09-22T13:38:19.646000+00:00,98.012,False,28.879,41.527,27.606,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",58
57,1246,9606,11,296.0,263,288.0,2024-09-22T13:39:57.619000+00:00,100.652,False,30.722,42.118,27.812,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",59
58,1246,9606,11,294.0,266,287.0,2024-09-22T13:41:38.287000+00:00,98.149,False,28.995,41.734,27.42,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",60
59,1246,9606,11,297.0,268,288.0,2024-09-22T13:43:16.470000+00:00,98.274,False,28.843,41.555,27.876,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 0, 0, 0]",61
