meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1234,9507,11,208.0,184,313,2024-05-05T20:34:55.947000+00:00,92.753,False,31.382,35.473,25.898,"[None, 2048, 2049, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",21
1234,9507,11,207.0,183,316,2024-05-05T20:36:28.705000+00:00,92.852,False,31.438,35.269,26.145,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049]",22
1234,9507,11,174.0,185,317,2024-05-05T20:38:01.492000+00:00,107.989,False,45.525,36.584,25.88,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",23
1234,9507,11,209.0,184,317,2024-05-05T20:39:49.598000+00:00,92.386,False,31.391,35.199,25.796,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",24
1234,9507,11,211.0,182,310,2024-05-05T20:41:21.859000+00:00,92.763,False,31.302,35.54,25.921,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",25
1234,9507,11,209.0,183,315,2024-05-05T20:42:54.619000+00:00,92.512,False,31.119,35.359,26.034,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",26
1234,9507,11,210.0,183,312,2024-05-05T20:44:27.216000+00:00,92.161,False,31.079,35.219,25.863,"[None, 2048, 2048, 2049, 2048, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",27
1234,9507,11,211.0,184,199,2024-05-05T20:45:59.391000+00:00,107.036,False,31.139,35.259,40.638,"[None, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",28
1234,9507,11,160.0,117,222,2024-05-05T20:47:46.294000+00:00,138.07,True,54.485,47.349,36.236,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",29
1234,9507,11,159.0,159,277,2024-05-05T20:50:04.548000+00:00,120.593,False,50.793,41.271,28.529,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",30
1234,9507,11,175.0,148,278,2024-05-05T20:52:05.094000+00:00,102.695,False,35.598,38.266,28.831,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",31
1234,9507,11,90.0,101,159,2024-05-05T20:53:47.678000+00:00,147.689,False,54.457,59.097,34.135,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2049, 2048]",32
1234,9507,11,211.0,186,316,2024-05-05T20:56:15.383000+00:00,93.589,False,32.382,35.357,25.85,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",33
1234,9507,11,209.0,185,306,2024-05-05T20:57:49.013000+00:00,92.188,False,31.582,34.963,25.643,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048]",34
1234,9507,11,210.0,185,331,2024-05-05T20:59:21.285000+00:00,91.589,False,31.285,34.769,25.535,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",35
1234,9507,11,209.0,183,316,2024-05-05T21:00:52.842000+00:00,92.184,False,31.281,35.294,25.609,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",36
1234,9507,11,208.0,184,313,2024-05-05T21:02:25.043000+00:00,92.553,False,31.447,35.271,25.835,"[2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048]",37
1234,9507,11,214.0,186,318,2024-05-05T21:03:57.569000+00:00,91.664,False,31.05,34.859,25.755,"[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",38
1234,9507,11,215.0,185,323,2024-05-05T21:05:29.296000+00:00,92.195,False,31.292,35.183,25.72,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",39
1234,9507,11,213.0,184,309,2024-05-05T21:07:01.310000+00:00,92.645,False,32.009,34.848,25.788,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",40
1234,9507,11,,185,313,2024-05-05T21:08:33.994000+00:00,92.137,False,30.994,35.311,25.832,"[None, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",41
