meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1246,9606,81,292.0,262,285.0,2024-09-22T12:36:53.741000+00:00,98.275,False,28.855,41.872,27.548,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 0]",21
1246,9606,81,290.0,261,284.0,2024-09-22T12:38:31.986000+00:00,98.415,False,29.002,41.924,27.489,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",22
1246,9606,81,,263,283.0,2024-09-22T12:40:10.383000+00:00,98.262,False,28.955,41.809,27.498,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]",23
1246,9606,81,282.0,263,285.0,2024-09-22T12:41:48.642000+00:00,98.403,False,28.958,42.0,27.445,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 0]",24
1246,9606,81,300.0,271,283.0,2024-09-22T12:43:27.110000+00:00,98.516,False,28.834,42.087,27.595,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049]",25
1246,9606,81,299.0,271,294.0,2024-09-22T12:45:05.532000+00:00,98.839,False,28.768,42.378,27.693,"[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2049, 2049]",26
1246,9606,81,306.0,271,291.0,2024-09-22T12:46:44.473000+00:00,98.644,False,28.794,42.31,27.54,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]",27
1246,9606,81,289.0,262,293.0,2024-09-22T12:48:23.077000+00:00,97.7,False,28.663,41.481,27.556,"[None, 2049, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048]",28
1246,9606,81,,262,286.0,2024-09-22T12:50:00.779000+00:00,97.944,False,28.916,41.686,27.342,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",29
1246,9606,81,288.0,262,283.0,2024-09-22T12:51:38.743000+00:00,98.29,False,28.893,41.829,27.568,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]",30
